id,(Intercept),StageActive,StageAdvanced,StageBloat,StageDry
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides,-1.4316265347279125,8.621864477914231,8.155891868121632,3.545538207542636,4.155578572016631
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas,2.154823525084566,-9.033829735014272,-8.78828023598192,-5.200883530015825,-2.7118745527137853
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;__,0.07342527324423699,-7.934008078057925,-5.9718281668165565,-1.262387836387173,-5.773841266282602
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,10.267091634649665,-12.759698818831922,-14.11312527473806,-6.345502360685478,-11.750052188240439
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,5.122088577902924,-3.371356083870831,-2.0202151170152374,0.5735369456766909,-0.18246978198166552
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,21.11846287927751,-5.156544950310691,-3.8325744190053626,1.8914407143339247,-4.261251905666638
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__,-8.6669973850293,4.298779342067752,1.4630794305277053,1.3492220747199468,1.486489026744384
d__Bacteria;__;__;__;__;__,-5.59186352914409,-4.375733431048349,-0.46608076047742314,-0.37055281226998305,0.046146152293907415
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella,4.0949984670940065,-2.200220069338503,-4.166878238670885,3.767779819409681,-4.8825878284388375
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelothrix,-5.763591862010593,13.902712084595858,11.167432784707975,1.9871392638484433,11.9657302447693
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,25.0254742479308,-8.379994999052252,-6.041004120466049,-2.433509985318381,-4.793953499244087
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__,5.749309277211925,11.405037159347238,10.02622198295225,2.7101756207789287,7.14104928514227
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__,15.975958750577872,-5.709642356818169,-5.3990688761199666,-0.6408619650377382,-6.161707069232845
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;__,-14.446488734692048,0.9162089621267726,4.600096989045535,-4.292321924371713,3.4889256376299738
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__,-6.622809459248479,0.06426474126074908,-0.580848583931364,0.2639556849174831,0.06769801531348327
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Kurthia,9.21429910901272,1.420244590941712,-1.308307543801306,0.6508776204675244,-1.847496872937205
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__uncultured,-7.36549691257127,0.4184688856254209,0.6478007802780543,0.4323004413128166,-1.2894973734877233
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Tissierella,-13.504049926156748,7.8344180420363845,8.222080376717287,-1.5841245913979072,8.704889214436326
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum,-3.488845116368194,-7.699285272509737,-8.391157586744642,-3.6112589909704336,-2.1515578747211066
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,1.226536772210889,-7.558140493723047,-0.6437678540723224,-1.0721219361628487,0.3547784706938297
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1,18.76839429755554,-13.35882447984127,-12.092603333931418,-7.245993556500776,-17.674317226687073
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Tepidimicrobium,-11.672010849194042,4.587742447242268,5.16949132911571,-4.161617610615013,5.239257432215986
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc,8.069940073898351,-0.8039452371782304,-3.0573414709960147,0.37093015738068186,-2.8658878887424843
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,11.942697936731454,-1.1725945670609834,-2.5421365578994597,-2.6570643365764117,-3.354045515443873
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus,10.027991940439955,9.998378141598716,8.79887165879826,5.888154982719416,4.266448291284037
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia,-1.7552782758395107,-8.159979805588128,-7.60525814451097,-3.1430182789979764,-1.063523206722237
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter,13.425516565327966,-1.256096160672189,0.7061440625295022,-2.7994927942679144,0.5783222515471509
