id,(Intercept),StageActive,StageAdvanced,StageBloat,StageDry
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides,-0.16337448256958043,2.374475700656288,2.9391024622620923,0.8568196951968141,2.600907173176296
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas,0.26212301649456515,-1.316105880509142,-1.4114152200161205,-0.8256353010688193,-1.1145473426176162
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;__,0.01048951026798628,-1.289441077445308,-1.175511877281846,-0.26358356726804755,-1.530359833554026
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,1.8542556742113052,-2.7643345329947993,-3.042378675065601,-1.5672382146242951,-3.374125997497346
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,0.9333606848814329,-0.8459986536434602,-0.6354020577077341,0.15083782583354588,-0.08145138865515977
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,4.267837145051498,-1.6191118864293341,-1.2419531497836367,0.5382631627387024,-1.9465995466227017
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__,-0.5823265853641518,1.1519878051178156,0.46883596898366253,0.24797520644373905,0.8684367424947245
d__Bacteria;__;__;__;__;__,-0.4208873656629174,-0.5420604656368184,-0.10681365244985286,-0.05179451801163021,0.021662304378485375
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella,0.662734498580172,-0.5401379771632808,-1.215478654906219,1.070797162988873,-1.775435278686678
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelothrix,-0.4644565502745931,2.9551504818536367,3.490250476179101,0.35785467794427195,4.111310072311861
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,5.924131776388749,-2.6850652437414673,-1.9022485790478891,-0.7902321096288254,-2.4346975469828758
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__,0.9763543121569744,3.1964004466087257,3.275325781705629,0.8165440047276875,3.078619140894176
