id,(Intercept),StageActive,StageAdvanced,StageBloat,StageDry
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides,0.11411808778790938,0.2754016496940708,0.36036555042495816,0.24166139103339804,0.6258832863107484
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas,0.12164477203963983,0.14568637212720975,0.16060198151594585,0.15874904644640392,0.41098779495618026
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;__,0.14285966949138432,0.16252076690107625,0.19684288369410405,0.20879761327738802,0.26505055525007953
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0.18060184326723178,0.21664575098864744,0.2155708686658751,0.2469841039433469,0.2871583839324733
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,0.18222267551327034,0.250937199333784,0.31452197954369704,0.2629958313419182,0.4463828902001098
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0.2020903306006856,0.3139916168735773,0.3240519332448999,0.28457839500840665,0.45681400436198155
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__,0.06718896516226228,0.26798021332346383,0.320444645178671,0.18379124614842252,0.5842200829404848
d__Bacteria;__;__;__;__;__,0.07526781786953586,0.12387876779480833,0.22917412926558012,0.13977634576388795,0.4694281820186644
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella,0.16183998697574065,0.24549270533909529,0.29170006544129834,0.28419844425958013,0.36362587649639005
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelothrix,0.08058456625562838,0.21255928079873926,0.31253830163710006,0.18008535408395265,0.3435904026090743
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,0.2367240563634305,0.32041370478683323,0.31488946888868125,0.3247293474842421,0.5078684111906342
